run_dir,throughput_fps,latency_mean_ms,latency_median_ms,latency_p95_ms,Lat_PreMux_ms_mean,Lat_Mux_ms_mean,Lat_Infer_ms_mean,Lat_Tracker_ms_mean,Lat_PreOSD_ms_mean,Lat_OSD_ms_mean,Lat_Output_ms_mean,gpu_pct_mean,ram_mb_mean,VDD_IN_mW_mean,VDD_CPU_GPU_CV_mW_mean,VDD_SOC_mW_mean,CPU_Core_1_Persen_mean,CPU_Core_1_Freq_MHz_mean,CPU_Core_2_Persen_mean,CPU_Core_2_Freq_MHz_mean,CPU_Core_3_Persen_mean,CPU_Core_3_Freq_MHz_mean,CPU_Core_4_Persen_mean,CPU_Core_4_Freq_MHz_mean,CPU_Core_5_Persen_mean,CPU_Core_5_Freq_MHz_mean,CPU_Core_6_Persen_mean,CPU_Core_6_Freq_MHz_mean,model,tracker
data/benchmark/yolov26n_kitti_nvdcf/20260819_121120,65.45289285320271,359.383325,351.081,415.08435,283.13471250000003,22.12631875,23.092118749999997,12.362874999999999,0.009912500000000001,11.220125,7.437287499999999,61.0,1406.6666666666667,8588.333333333334,2724.3333333333335,2108.3333333333335,41.0,1510.0,30.333333333333332,1510.0,31.333333333333332,1510.0,33.666666666666664,1510.0,28.333333333333332,1510.0,31.0,1510.0,yolov26n_kitti,nvdcf
data/benchmark/yolov26n_kitti_nvdcf/20260819_121234,67.06068756095083,333.10310489510493,327.997,386.8555,259.31815384615385,21.20366433566434,24.413104895104894,13.816902097902096,0.00967832167832168,9.317643356643355,5.023993006993007,95.5,1447.5,9129.0,3013.0,2249.5,38.5,1510.0,36.0,1510.0,33.5,1510.0,35.0,1510.0,28.5,1510.0,28.0,1510.0,yolov26n_kitti,nvdcf
data/benchmark/yolov26n_kitti_nvdcf/20260819_121347,64.27172573364282,368.0061637426901,363.333,416.28499999999997,290.47441520467834,22.230204678362576,21.891122807017542,14.359754385964912,0.010064327485380118,12.303450292397663,6.737105263157895,63.0,1454.0,8872.0,2913.3333333333335,2176.0,38.666666666666664,1510.0,34.333333333333336,1510.0,32.666666666666664,1510.0,32.333333333333336,1510.0,29.666666666666668,1510.0,27.333333333333332,1510.0,yolov26n_kitti,nvdcf
data/benchmark/yolov26n_kitti_nvdcf/20260819_121500,66.06771033497628,358.4348766233767,349.496,412.34015,282.5627532467533,21.994376623376624,21.46485714285714,14.119902597402598,0.010142857142857143,11.057233766233765,7.225642857142859,97.0,1457.0,9068.5,2952.0,2229.5,41.5,1510.0,33.5,1510.0,33.0,1510.0,33.5,1510.0,27.5,1510.0,31.5,1510.0,yolov26n_kitti,nvdcf
data/benchmark/yolov26n_kitti_nvsort/20260819_121614,67.3435637288594,240.6936060606061,232.7775,289.79425,205.45236363636363,10.93668181818182,15.597999999999997,0.29488636363636367,0.006303030303030303,4.661856060606061,3.743492424242425,76.5,1387.0,8459.5,2673.0,2069.0,37.0,1510.0,27.0,1510.0,28.0,1510.0,29.5,1510.0,24.0,1510.0,22.0,1510.0,yolov26n_kitti,nvsort
data/benchmark/yolov26n_kitti_nvsort/20260819_121727,67.33137986668385,241.6564696969697,233.42399999999998,291.12760000000003,205.46363636363637,10.768719696969697,15.88715909090909,0.45548484848484844,0.008037878787878788,5.002924242424243,4.070530303030303,82.0,1392.0,8459.5,2673.0,2069.0,32.5,1510.0,32.0,1510.0,25.0,1510.0,29.0,1510.0,23.0,1510.0,29.5,1510.0,yolov26n_kitti,nvsort
data/benchmark/yolov26n_kitti_nvsort/20260819_121840,67.08302866457818,240.5898167938931,232.138,289.865,205.2736870229008,10.990656488549616,15.475175572519085,0.36517557251908406,0.00732824427480916,4.765473282442748,3.712297709923664,43.5,1392.0,8419.0,2633.0,2069.0,34.0,1510.0,29.0,1510.0,28.5,1510.0,29.5,1510.0,20.0,1510.0,21.0,1510.0,yolov26n_kitti,nvsort
data/benchmark/yolov26n_kitti_nvsort/20260819_121953,67.34422150594013,242.59610606060605,234.1465,291.81495,205.47070454545454,10.89589393939394,16.09226515151515,0.5745530303030303,0.007113636363636364,5.336462121212121,4.219045454545454,62.0,1385.5,8480.0,2673.0,2069.0,36.5,1510.0,31.5,1510.0,29.5,1510.0,23.5,1510.0,19.5,1510.0,24.0,1510.0,yolov26n_kitti,nvsort
data/benchmark/yolov26n_kitti_nvsort/20260819_122106,67.33702127747068,241.30754545454548,232.62,291.5786,205.46320454545457,10.93193181818182,15.802007575757575,0.4520757575757575,0.007462121212121212,4.79225,3.8585984848484856,76.5,1391.0,8459.5,2673.0,2069.0,37.0,1510.0,29.0,1510.0,32.5,1510.0,28.0,1510.0,19.5,1510.0,24.0,1510.0,yolov26n_kitti,nvsort
data/benchmark/yolov8n_kitti_efficientnms_nvdcf/20260819_122219,66.4659461229025,262.96972592592596,255.673,317.8649,205.7871407407407,11.997948148148147,19.38282962962963,11.665933333333331,0.010266666666666665,8.608866666666666,5.516644444444445,94.5,1375.5,9190.0,3074.0,2228.0,39.0,1510.0,32.5,1510.0,35.0,1510.0,36.0,1510.0,28.5,1510.0,27.5,1510.0,yolov8n_kitti_efficientnms,nvdcf
