model,tracker,n_runs,avg_fps,median_fps,std_fps,avg_latency_ms,avg_p95_latency_ms,avg_Lat_PreMux_ms,avg_Lat_Mux_ms,avg_Lat_Infer_ms,avg_Lat_Tracker_ms,avg_Lat_PreOSD_ms,avg_Lat_OSD_ms,avg_Lat_Output_ms,avg_gpu_pct,avg_ram_mb,avg_VDD_IN_mW,avg_VDD_CPU_GPU_CV_mW,avg_VDD_SOC_mW,avg_CPU_Core_1_Persen,avg_CPU_Core_1_Freq_MHz,avg_CPU_Core_2_Persen,avg_CPU_Core_2_Freq_MHz,avg_CPU_Core_3_Persen,avg_CPU_Core_3_Freq_MHz,avg_CPU_Core_4_Persen,avg_CPU_Core_4_Freq_MHz,avg_CPU_Core_5_Persen,avg_CPU_Core_5_Freq_MHz,avg_CPU_Core_6_Persen,avg_CPU_Core_6_Freq_MHz
yolov10n_kitti,nvdcf,1,66.61018780619098,66.61018780619098,,245.1398161764706,298.42525,205.26532352941175,10.163536764705881,16.93145588235294,2.710213235294118,0.00900735294117647,5.521764705882354,4.538529411764706,83.5,2203.0,8622.0,2795.0,2109.0,40.0,1510.0,29.5,1510.0,27.0,1510.0,30.0,1510.0,25.0,1510.0,24.0,1510.0
yolov10n_kitti,nvsort,1,67.32632762635637,67.32632762635637,,241.57453030303031,290.806,205.50076515151517,10.816598484848484,16.05596212121212,0.3813863636363637,0.007287878787878788,4.924219696969697,3.88825,49.0,2113.0,8561.0,2754.0,2069.0,33.5,1510.0,25.5,1510.0,28.0,1510.0,26.5,1510.0,26.5,1510.0,29.0,1510.0
yolov26n_kitti,nvdcf,1,64.16039626720325,64.16039626720325,,368.5409634146341,424.0692,290.8214268292683,22.323298780487804,21.929323170731706,14.318432926829267,0.00998780487804878,12.148524390243901,6.989993902439024,56.333333333333336,2172.3333333333335,8709.666666666666,2791.6666666666665,2123.3333333333335,38.666666666666664,1510.0,32.333333333333336,1510.0,32.333333333333336,1510.0,32.0,1510.0,27.666666666666668,1510.0,28.0,1510.0
yolov26n_kitti,nvsort,1,67.32677745262198,67.32677745262198,,240.84588636363637,290.94575000000003,205.38274242424242,11.019757575757577,15.32375,0.32446212121212126,0.007113636363636364,4.9207954545454555,3.8673863636363635,65.5,2120.5,8439.0,2653.0,2069.0,30.5,1510.0,28.0,1510.0,27.5,1510.0,28.0,1510.0,25.0,1510.0,24.0,1510.0
yolov8n_kitti,nvdcf,1,66.99156749847035,66.99156749847035,,269.4090955882353,323.0005,206.182375,14.432566176470589,19.830801470588234,12.173345588235295,0.010257352941176471,10.256058823529413,6.523639705882353,88.0,2171.0,9250.5,3134.0,2228.0,41.5,1510.0,33.5,1510.0,34.5,1510.0,38.0,1510.0,32.5,1510.0,34.0,1510.0
yolov8n_kitti,nvsort,1,66.71887509789077,66.71887509789077,,237.41359349593495,289.66159999999996,204.72212195121952,10.834268292682927,13.955065040650409,0.3818780487804878,0.007991869918699188,4.376780487804878,3.135528455284553,43.0,2356.0,8439.5,2673.0,2069.0,33.0,1510.0,25.5,1510.0,27.5,1510.0,25.5,1510.0,19.0,1510.0,24.0,1510.0
yolov8n_kitti_efficientnms,nvdcf,1,66.66666666666667,66.66666666666667,,263.10660294117645,316.476,205.79791176470587,12.31641911764706,19.98960294117647,11.583088235294117,0.012066176470588235,8.689632352941176,4.717845588235294,82.5,2098.0,9210.0,3074.0,2228.0,37.5,1510.0,32.0,1510.0,33.0,1510.0,37.5,1510.0,32.0,1510.0,30.0,1510.0
yolov8n_kitti_efficientnms,nvsort,1,67.43901905731842,67.43901905731842,,238.4533410852713,289.3936,205.1848992248062,10.812565891472868,14.24593023255814,0.3778217054263566,0.007062015503875968,4.616868217054264,3.2081705426356586,71.0,2039.5,8439.0,2714.0,2069.0,34.5,1510.0,26.5,1510.0,27.0,1510.0,29.5,1510.0,22.5,1510.0,22.0,1510.0
yolov9t_kitti,nvdcf,1,48.31463802509414,48.31463802509414,,489.51980405405413,564.78875,386.06017905405406,29.470033783783787,26.57313513513514,18.30952702702703,0.007861486486486486,19.668790540540538,9.430266891891893,96.33333333333333,2462.6666666666665,8412.333333333334,2754.1666666666665,2021.3333333333333,31.666666666666668,1510.0,24.833333333333332,1510.0,25.666666666666668,1510.0,23.166666666666668,1510.0,27.666666666666668,1510.0,30.0,1510.0
yolov9t_kitti,nvsort,1,67.03471670816928,67.03471670816928,,266.40256153846155,317.8813,207.00161538461538,14.700861538461536,24.555023076923074,0.5362923076923077,0.009607692307692308,10.67083846153846,8.928092307692308,82.0,2056.0,8906.0,3074.0,2109.0,39.0,1510.0,31.5,1510.0,30.0,1510.0,30.0,1510.0,24.0,1510.0,32.0,1510.0
yolov9t_kitti_efficientnms,nvdcf,1,50.01207005082852,50.01207005082852,,472.5823415492958,549.4426,372.7173873239436,28.350841549295776,26.98243661971831,21.87714084507042,0.008954225352112677,13.966757042253521,8.67875704225352,88.66666666666667,2107.0,8452.666666666666,2781.1666666666665,2021.3333333333333,31.166666666666668,1510.0,25.0,1510.0,23.5,1510.0,24.833333333333332,1510.0,27.833333333333332,1510.0,27.5,1510.0
yolov9t_kitti_efficientnms,nvsort,1,67.02056964390943,67.02056964390943,,276.8302290076336,331.9415,209.58090076335876,18.02996183206107,29.35818320610687,0.6931984732824428,0.008732824427480917,10.629198473282443,8.530022900763358,91.0,2044.0,8946.5,3094.0,2109.0,39.5,1510.0,32.5,1510.0,29.5,1510.0,33.0,1510.0,27.0,1510.0,27.0,1510.0
